"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-10","48","59","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-11","49","68","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-12","51","65","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-13","47","52","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-14","52","62","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-15","49","60","41"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-16","47","55","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-17","51","60","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-18","63","77","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-19","48","55","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-20","46","48","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-21","47","56","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-22","46","50","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-23","48","56","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-24","49","58","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-25","47","54","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-26","47","54","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-27","52","63","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-28","62","77","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-29","54","69","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-04-30","49","56","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-01","48","52","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-02","50","56","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-03","60","74","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-04","60","74","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-05","56","78","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-06","48","55","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-07","50","56","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-08","60","72","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-09","55","72","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-10","64","80","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-11","65","83","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-12","57","74","42"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-13","50","63","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-14","47","50","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-15","48","53","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-16","49","55","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-17","48","52","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-18","50","59","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-19","48","52","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-20","48","54","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-21","48","54","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-22","52","66","43"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-23","50","58","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-24","51","62","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-25","51","55","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-26","50","61","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-27","52","60","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-28","52","60","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-29","47","49","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-30","57","78","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-05-31","69","90","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-01","60","70","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-02","53","63","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-03","57","72","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-04","52","57","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-05","55","67","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-06","53","62","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-07","51","56","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-08","52","59","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-09","51","58","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-10","52","59","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-11","57","64","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-12","61","73","56"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-13","62","70","55"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-14","57","63","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-15","56","64","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-16","72","88","59"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-17","79","97","65"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-18","75","93","60"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-19","64","75","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-20","59","79","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-21","55","62","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-22","57","64","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-23","57","63","53"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-24","56","66","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-25","54","64","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-26","55","60","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-27","54","59","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-28","54","59","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-29","56","61","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-06-30","55","59","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-01","55","60","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-02","56","65","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-03","55","62","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-04","55","63","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-05","56","66","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-06","53","57","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-07","51","53","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-08","67","80","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-09","68","83","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-10","61","76","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-11","53","62","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-12","51","57","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-13","51","56","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-14","53","60","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-15","51","59","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-16","55","68","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-17","61","77","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-18","66","82","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-19","63","83","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-20","56","63","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-21","57","64","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-22","50","50","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-23","66","78","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-24","63","80","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-25","64","80","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-26","57","63","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-27","66","79","55"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-28","63","78","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-29","66","80","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-30","64","81","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-07-31","60","71","53"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-01","58","67","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-02","59","69","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-03","57","73","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-04","56","64","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-05","55","61","53"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-06","63","78","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-07","62","77","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-08","60","69","53"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-09","59","71","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-10","65","86","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-11","64","77","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-12","61","78","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-13","61","73","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-14","61","73","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-15","61","74","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-16","60","69","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-17","58","66","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-18","60","72","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-19","60","70","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-20","58","70","53"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-21","56","62","53"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-22","56","64","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-23","55","62","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-24","55","59","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-25","56","70","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-26","63","78","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-27","77","90","60"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-28","80","94","66"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-29","67","85","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-30","60","80","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-08-31","58","66","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-01","55","63","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-02","55","62","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-03","56","66","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-04","65","82","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-05","75","88","64"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-06","78","91","66"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-07","71","79","58"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-08","71","86","61"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-09","61","72","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-10","59","67","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-11","61","75","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-12","68","86","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-13","62","76","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-14","64","86","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-15","56","73","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-16","53","60","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-17","54","58","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-27","58","67","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-28","56","64","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-29","60","73","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-09-30","71","85","62"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-01","74","86","65"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-02","75","87","67"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-03","77","90","69"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-04","75","89","57"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-05","58","70","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-06","53","62","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-07","52","58","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-08","53","59","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-09","57","66","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-10","58","75","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-11","53","57","48"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-12","53","62","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-13","51","57","46"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-14","60","69","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-15","67","78","58"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-16","69","85","59"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-17","54","65","47"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-18","50","57","44"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-19","53","64","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-20","56","60","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-21","60","62","57"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-22","54","59","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-23","55","59","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-24","56","57","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-25","53","58","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-26","55","61","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-27","61","71","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-28","64","74","57"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-29","63","76","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-30","54","57","52"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-10-31","54","60","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-11-01","56","57","55"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-11-02","58","63","55"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-11-03","61","72","54"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-11-04","56","62","51"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-11-05","54","62","50"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-11-06","53","60","49"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-11-07","51","58","45"
"USR0000CSVA","SPRING VALLEY CALIFORNIA, CA US","2021-11-08","52","62","46"
